date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:02	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Mon,%2020%20Nov%202023%2000:25:02%20GMT	http://127.0.0.1:5000/robots.txt		(from )
19:25:04	5566/5566	---M--	200	added ('OK')	text/html	date:Mon,%2020%20Nov%202023%2000:25:04%20GMT	http://127.0.0.1:5000/	C:/Users/skycr/Desktop/Repo1/webtex/AlexH-736.github.io/127.0.0.1_5000/index.html	(from )
19:25:04	13626/13626	---M--	200	added ('OK')	text/css	etag:%221663893967.0-13626-161485874%22	http://127.0.0.1:5000/static/index.css	C:/Users/skycr/Desktop/Repo1/webtex/AlexH-736.github.io/127.0.0.1_5000/static/index.css	(from http://127.0.0.1:5000/)
19:25:05	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Mon,%2020%20Nov%202023%2000:25:04%20GMT	http://127.0.0.1:5000/templates/assets/styles/index.css	C:/Users/skycr/Desktop/Repo1/webtex/AlexH-736.github.io/127.0.0.1_5000/templates/assets/styles/index.1.delayed	(from http://127.0.0.1:5000/)
19:25:05	4158/4158	---M--	200	added ('OK')	image/x-icon	etag:%221663893967.0-4158-860886258%22	http://127.0.0.1:5000/static/favicon.ico	C:/Users/skycr/Desktop/Repo1/webtex/AlexH-736.github.io/127.0.0.1_5000/static/favicon.ico	(from http://127.0.0.1:5000/)
19:25:05	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Mon,%2020%20Nov%202023%2000:25:05%20GMT	http://127.0.0.1:5000/assets/svgs/menu.svg	C:/Users/skycr/Desktop/Repo1/webtex/AlexH-736.github.io/127.0.0.1_5000/assets/svgs/menu.3.delayed	(from http://127.0.0.1:5000/)
19:25:05	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Mon,%2020%20Nov%202023%2000:25:05%20GMT	http://127.0.0.1:5000/assets/svgs/exit.svg	C:/Users/skycr/Desktop/Repo1/webtex/AlexH-736.github.io/127.0.0.1_5000/assets/svgs/exit.4.delayed	(from http://127.0.0.1:5000/)
19:25:05	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Mon,%2020%20Nov%202023%2000:25:05%20GMT	http://127.0.0.1:5000/workshops.html	C:/Users/skycr/Desktop/Repo1/webtex/AlexH-736.github.io/127.0.0.1_5000/workshops.5.delayed	(from http://127.0.0.1:5000/)
19:25:06	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Mon,%2020%20Nov%202023%2000:25:05%20GMT	http://127.0.0.1:5000/links.html	C:/Users/skycr/Desktop/Repo1/webtex/AlexH-736.github.io/127.0.0.1_5000/links.6.delayed	(from http://127.0.0.1:5000/)
19:25:06	725/725	---M--	200	added ('OK')	application/javascript	etag:%221663893967.0-725-4117566406%22	http://127.0.0.1:5000/static/index.js	C:/Users/skycr/Desktop/Repo1/webtex/AlexH-736.github.io/127.0.0.1_5000/static/index.js	(from http://127.0.0.1:5000/)
